100	90
15 51	66 55	29 43	45 31	20 27	0 84	46 1	82 83	88 12	26 5	22 61	27 12	33 19	13 84	32 91	2 3	73 52	5 74	6 35	41 20	61 47	85 52	1 68	74 3	21 79	69 28	44 48	12 2	8 89	42 90	65 58	63 84	36 98	62 83	79 46	38 1	11 8	3 17	23 25	78 68	17 36	86 36	77 13	9 82	24 7	72 81	54 78	4 3	83 37	55 63	56 10	35 94	19 44	39 80	75 48	52 8	87 27	81 2	43 1	84 70	60 27	80 51	49 14	16 39	28 91	89 6	76 26	71 3	51 28	31 29	70 9	25 71	10 45	57 36	14 46	68 74	48 64	40 56	58 76	53 70	47 24	34 70	59 18	67 83	64 13	37 94	18 58	50 64	30 91	7 74
84 52	40 13	51 84	75 67	85 21	27 98	57 2	69 37	64 48	43 41	80 62	53 84	55 3	2 42	14 33	15 28	3 63	82 56	46 94	38 87	86 68	54 76	22 78	32 73	26 90	65 11	49 5	16 22	52 35	11 18	47 34	48 35	39 52	10 82	67 11	41 39	36 97	0 92	7 36	58 43	74 38	79 29	42 52	87 56	25 29	24 83	31 26	5 84	89 46	78 42	30 62	18 46	33 91	34 27	56 4	13 7	73 4	77 23	23 35	4 65	19 39	45 29	35 79	76 27	20 30	37 70	59 51	81 92	62 7	71 74	8 83	44 81	72 67	83 26	61 6	50 38	88 55	1 7	29 83	9 5	63 74	70 4	66 12	12 5	17 11	28 55	60 5	6 71	21 70	68 91
27 84	31 83	33 21	83 86	81 34	88 78	0 93	38 38	82 39	48 17	42 51	89 9	12 50	15 88	54 42	32 84	23 64	85 70	45 71	36 49	24 36	70 60	26 37	6 13	41 48	78 26	86 35	69 42	3 91	47 94	8 16	16 84	55 74	40 99	37 7	68 1	34 51	79 32	52 93	44 41	51 28	62 64	30 42	71 17	39 38	59 45	60 73	66 97	64 66	75 60	67 92	28 20	11 92	73 59	2 72	46 57	7 90	43 7	53 73	17 68	56 72	4 44	50 33	10 49	18 63	74 36	80 70	87 64	13 24	5 44	14 87	57 1	72 33	84 55	25 60	61 82	22 13	19 22	49 6	63 14	20 21	77 53	9 28	29 17	58 80	1 45	76 87	35 85	21 56	65 81
77 31	61 85	60 94	16 89	86 12	73 46	20 30	82 30	79 8	84 43	38 52	34 89	18 89	58 70	37 1	36 48	50 32	33 42	62 38	64 61	31 17	28 38	32 18	55 65	14 29	76 39	0 42	9 1	80 53	89 78	23 6	17 32	44 84	87 77	63 31	43 13	22 2	29 91	75 38	59 39	72 24	19 69	13 37	2 89	15 87	12 41	46 14	51 93	52 62	21 61	69 31	5 9	56 20	8 47	71 78	49 69	40 66	30 12	67 75	4 39	78 47	27 71	54 79	65 75	41 83	10 74	45 97	42 53	48 59	85 18	81 97	6 66	1 59	53 48	57 12	83 96	74 23	88 57	66 73	35 74	24 26	70 36	3 95	68 91	7 99	47 72	11 51	39 24	25 41	26 6
48 47	69 24	23 76	34 85	21 7	76 1	58 37	79 11	44 85	70 83	66 34	71 88	40 24	19 18	7 45	9 26	81 1	43 68	28 54	25 54	83 62	74 45	75 99	45 20	15 31	5 98	32 60	80 61	88 3	30 73	53 21	82 30	10 15	73 63	41 56	24 16	18 60	49 27	31 83	36 83	37 72	67 48	27 77	12 45	87 47	0 25	17 57	77 32	39 59	2 23	47 41	42 79	11 43	22 75	85 7	52 56	89 70	55 6	63 53	8 74	62 94	16 69	84 57	56 69	54 82	20 3	59 15	46 91	72 87	64 58	86 51	13 72	1 93	61 15	35 65	38 80	65 98	14 5	33 96	29 54	78 74	4 27	68 90	3 52	6 84	26 40	50 34	57 66	60 76	51 86
27 32	65 41	59 26	12 11	30 20	1 84	6 90	4 88	0 22	67 77	18 76	33 30	62 45	69 63	7 45	21 67	71 88	14 48	36 28	23 23	89 44	43 98	11 42	78 96	49 62	28 54	8 78	79 78	85 88	63 4	52 75	20 2	83 45	57 52	26 33	25 86	47 63	66 50	68 79	56 19	46 63	38 32	5 35	76 47	53 7	51 19	64 45	15 94	70 98	40 84	81 4	73 48	50 57	9 2	29 23	19 6	41 66	44 88	16 85	75 15	55 33	58 6	22 65	88 96	87 94	2 43	37 39	35 7	32 68	61 77	72 95	74 19	3 81	45 51	31 81	54 59	82 33	10 29	42 64	48 38	84 42	39 23	86 80	34 42	77 68	13 61	17 37	60 85	80 22	24 95
30 84	87 65	2 80	66 10	83 85	26 14	57 62	63 38	46 51	43 18	6 41	89 93	38 39	41 35	9 88	71 62	55 54	0 84	28 31	78 20	88 83	86 43	56 97	11 58	15 4	10 66	16 62	72 3	82 87	69 71	34 81	67 59	32 96	58 32	33 5	51 52	62 43	61 21	4 65	18 15	23 37	19 52	29 29	85 41	81 47	37 93	25 91	77 52	17 15	50 25	84 88	22 11	39 12	48 27	5 49	7 71	49 93	31 76	70 89	47 76	8 50	45 40	40 68	74 89	73 42	59 89	65 64	1 34	53 83	27 47	14 57	13 22	12 86	35 78	20 88	21 84	42 23	54 82	60 48	75 38	64 55	3 98	44 5	36 12	24 76	80 95	79 88	52 66	68 46	76 71
52 80	85 41	79 50	44 64	43 45	70 17	82 83	24 55	9 29	39 99	17 64	30 77	53 49	75 67	72 84	69 64	28 62	51 30	2 83	1 6	15 69	45 37	35 15	58 30	81 32	60 47	33 15	57 28	19 46	0 50	55 83	46 84	56 8	18 31	49 77	61 52	54 63	23 35	32 98	5 12	62 25	12 5	80 57	36 65	22 64	84 48	41 81	31 20	34 13	21 28	59 30	14 23	67 67	66 74	38 73	87 16	89 52	10 36	78 11	16 47	48 31	76 62	29 41	40 33	8 35	6 76	50 41	13 56	71 58	73 82	86 14	65 89	7 85	11 91	77 26	26 5	27 94	20 59	68 36	42 23	74 91	3 41	37 16	88 27	64 47	25 57	83 3	63 8	4 88	47 10
40 15	11 14	23 85	62 27	4 57	47 40	13 16	24 32	77 78	32 1	35 16	12 68	74 72	59 68	78 44	1 88	8 24	52 67	39 44	3 50	18 54	67 77	50 98	5 98	27 17	88 51	37 90	87 28	64 87	86 3	26 30	41 82	82 91	68 46	6 50	65 27	71 14	57 1	7 34	89 86	43 76	66 5	21 91	56 3	85 1	16 60	79 72	30 47	28 36	83 32	72 21	51 73	2 97	48 83	58 77	0 10	81 90	22 36	17 81	31 26	20 73	53 99	10 3	9 2	38 57	69 73	34 58	76 51	44 86	33 89	60 22	15 98	84 68	46 67	49 41	80 39	70 60	73 96	75 73	19 29	61 55	42 15	63 69	29 17	55 27	54 48	14 12	36 76	45 1	25 22
59 65	51 46	49 26	34 6	42 67	46 62	17 70	65 19	35 45	11 56	68 32	37 43	69 82	54 87	57 81	88 75	78 26	58 34	8 93	45 71	5 8	18 53	14 73	31 45	74 87	52 53	67 81	72 21	21 86	40 37	70 49	83 9	20 1	38 31	23 48	30 36	43 80	53 14	63 71	79 32	50 92	2 70	39 88	48 21	13 49	47 36	3 96	36 99	1 59	28 43	89 88	29 85	82 16	44 50	10 96	77 20	73 90	81 18	7 11	0 69	16 17	32 10	41 75	55 88	61 93	71 70	12 22	64 4	80 5	6 67	25 84	27 12	84 73	4 6	75 10	33 67	26 6	22 89	24 17	87 82	9 33	19 55	62 30	76 37	56 14	66 62	15 36	86 71	85 44	60 72
77 39	3 53	15 46	31 23	54 9	51 98	63 86	11 84	69 36	5 55	10 51	20 9	82 84	44 39	55 78	80 68	13 31	2 56	39 63	66 5	8 22	67 97	64 90	18 80	1 12	19 92	24 50	9 51	36 66	50 32	65 36	0 64	57 74	37 41	76 28	81 43	70 68	72 62	89 15	40 61	88 83	58 66	4 18	6 38	30 90	16 28	78 35	74 31	85 11	47 54	87 40	84 5	42 67	17 29	59 73	49 1	83 67	21 94	48 18	7 29	60 74	32 42	56 97	62 13	46 63	14 40	35 26	22 78	33 25	38 44	86 61	53 4	45 66	41 55	25 56	68 30	28 13	23 32	34 21	79 89	71 93	26 9	12 19	75 13	52 57	29 55	73 71	27 92	43 46	61 37
86 34	43 26	31 28	25 11	9 94	58 88	7 67	89 48	28 26	78 51	54 73	46 40	60 6	64 81	27 14	20 38	38 9	29 26	16 32	1 47	71 6	17 6	13 15	81 17	55 78	61 91	22 61	2 12	65 47	75 49	67 56	4 87	32 72	26 17	3 6	30 15	15 90	73 60	88 31	70 24	45 11	21 66	74 43	18 43	56 77	6 55	23 50	11 40	68 34	40 42	87 72	36 77	52 35	10 79	0 70	57 67	51 2	80 15	84 26	33 86	53 4	62 83	63 63	47 19	77 71	41 31	85 70	50 72	59 28	14 61	69 96	83 47	8 48	34 71	5 36	72 30	39 94	19 36	12 62	82 8	24 99	49 74	48 7	66 89	37 24	42 2	44 85	35 27	79 42	76 34
66 19	83 36	53 98	4 38	58 79	62 56	24 49	8 80	46 96	78 33	7 29	89 48	19 29	79 47	17 94	74 16	87 62	75 88	77 17	69 34	20 59	81 78	65 73	55 19	70 80	14 12	12 6	86 37	18 17	45 41	88 16	82 67	64 30	73 98	13 2	26 37	60 7	61 38	0 95	76 28	6 80	1 23	39 25	16 79	9 65	85 42	47 27	31 38	52 36	51 54	10 54	56 78	25 5	15 16	21 59	44 7	63 44	3 47	42 73	59 20	33 69	5 57	34 80	36 69	30 97	48 69	29 89	40 27	11 77	38 92	72 74	43 93	22 1	35 21	32 34	80 54	23 49	27 72	68 53	54 58	71 24	37 75	67 27	84 92	2 55	41 60	49 19	50 66	28 91	57 68
54 12	53 62	63 24	47 32	67 76	68 7	29 76	38 82	79 42	51 37	75 42	80 23	5 81	26 35	33 35	23 41	87 14	65 41	64 99	88 90	72 48	20 86	86 85	31 80	82 65	55 94	17 75	58 72	4 34	62 67	45 68	83 77	15 39	49 68	71 29	22 27	3 31	52 51	36 46	50 9	30 34	41 79	60 63	57 79	28 54	42 46	74 31	34 33	78 82	14 42	70 42	12 73	77 44	76 99	89 88	19 61	81 8	11 50	0 26	35 92	10 67	27 32	1 79	2 53	44 25	69 78	61 5	6 85	84 9	39 30	7 12	24 37	25 97	85 50	43 80	13 2	32 5	40 89	16 41	48 62	56 62	46 84	66 38	8 63	73 89	9 89	59 84	37 50	21 57	18 91
48 13	50 96	56 33	77 46	82 19	3 42	14 43	20 16	40 27	75 32	4 50	21 60	52 39	42 50	49 72	34 75	10 65	36 72	70 91	58 37	2 90	1 9	68 51	84 37	28 14	67 30	24 8	71 52	63 44	27 28	41 97	73 31	18 63	23 2	43 73	39 84	5 40	88 79	9 77	33 91	74 39	8 65	45 20	80 67	54 89	62 61	87 86	85 52	19 74	53 29	6 48	17 84	83 14	66 91	51 15	57 24	89 16	37 79	60 24	12 89	76 23	78 11	26 84	29 8	13 91	32 29	69 40	22 55	47 77	64 37	79 32	7 88	15 16	25 14	31 27	86 36	65 71	44 66	35 83	61 83	46 79	0 86	55 66	72 13	59 64	30 23	38 52	11 22	16 21	81 58
29 52	20 1	23 39	88 33	84 34	83 67	34 58	77 50	1 27	31 83	24 46	9 79	39 9	19 65	12 88	7 17	21 68	50 93	67 6	8 64	32 59	69 77	49 62	85 54	40 41	78 1	0 45	17 25	76 17	71 4	86 25	15 67	55 53	10 13	4 56	58 97	62 1	75 22	45 21	5 2	89 30	87 14	47 54	48 64	52 79	81 33	82 89	74 36	37 25	46 22	36 12	73 96	53 39	63 40	28 54	61 56	27 39	68 80	44 73	11 48	51 11	54 73	18 50	60 70	33 23	3 53	30 63	79 33	59 40	6 31	25 7	56 4	14 42	26 12	70 19	35 23	41 95	16 15	42 65	38 91	66 84	13 6	57 3	72 51	80 96	64 78	43 18	65 36	22 54	2 41
65 98	45 16	77 19	3 11	36 76	53 50	47 9	81 62	19 23	72 50	37 73	85 92	80 75	9 68	14 47	31 94	63 21	78 16	4 28	54 74	43 67	27 99	62 14	32 76	48 9	68 67	74 56	58 50	0 6	24 59	79 2	12 25	35 59	7 75	66 28	34 59	75 60	30 49	22 84	33 98	51 67	2 53	73 75	16 16	76 63	13 30	28 33	39 79	42 6	69 82	26 24	55 9	88 42	56 21	89 36	15 6	46 87	6 66	64 71	83 59	11 66	5 47	49 83	44 62	71 34	29 32	20 63	52 80	41 94	59 20	86 83	40 95	38 69	25 36	18 92	1 22	67 98	70 54	23 17	60 99	87 79	8 84	84 18	21 30	17 6	82 69	57 74	50 84	61 54	10 87
4 61	23 6	89 33	30 23	71 29	7 81	68 41	8 37	40 42	33 29	1 73	64 82	49 74	6 45	72 26	65 72	62 19	20 87	36 38	26 27	78 31	63 46	55 55	44 21	10 13	70 33	22 6	80 81	15 72	61 93	47 26	13 74	54 69	67 9	57 68	12 59	84 36	37 63	43 77	35 3	29 88	27 41	14 56	19 27	53 14	34 29	38 97	48 34	79 45	9 67	18 4	42 3	17 5	52 15	85 82	82 42	87 64	51 13	16 15	66 32	83 46	69 58	25 1	46 65	56 16	86 40	24 13	75 21	39 79	21 98	50 53	3 66	31 10	11 84	2 83	73 32	60 58	58 49	45 54	5 40	32 16	81 7	77 31	74 35	0 46	59 17	28 19	76 88	41 14	88 45
80 65	54 37	17 10	43 41	3 45	32 50	27 56	5 16	29 13	83 78	89 11	38 57	61 26	14 28	36 39	73 38	1 10	50 56	82 52	46 36	16 54	85 91	68 17	0 8	64 15	71 14	63 79	88 98	51 14	48 11	86 56	39 18	18 85	11 82	56 69	45 46	8 87	81 10	44 1	58 23	42 86	77 87	21 95	70 36	57 90	59 1	67 76	53 15	60 58	34 6	72 48	20 73	76 3	30 84	35 20	12 30	26 37	33 78	15 91	55 65	62 93	66 62	84 99	9 21	13 89	25 33	40 7	31 73	7 22	22 18	78 72	65 87	79 95	69 25	49 52	24 23	41 80	87 51	23 39	52 12	28 46	4 47	10 38	74 63	19 74	37 52	2 92	75 52	47 48	6 66
24 35	54 68	5 38	10 3	23 45	45 86	44 6	69 27	76 41	89 20	62 38	73 36	4 82	17 87	67 52	48 9	57 91	72 20	28 6	87 15	52 91	38 29	85 27	84 98	37 63	83 77	56 99	18 77	40 19	43 46	50 32	0 96	7 4	78 75	53 51	46 60	6 62	75 8	49 17	64 67	29 61	70 75	8 14	66 60	22 94	34 24	81 56	3 91	32 74	86 2	9 48	63 13	47 94	59 96	82 35	42 13	74 99	11 14	58 5	33 14	25 74	36 3	20 26	77 5	88 63	39 90	60 54	30 69	51 92	26 25	35 38	27 72	61 99	12 45	13 18	65 4	15 38	79 94	14 69	19 76	41 75	1 44	68 25	80 9	21 74	31 47	16 3	71 81	55 56	2 69
81 92	12 75	69 62	1 65	54 84	80 58	45 27	38 40	78 26	18 87	3 35	39 90	14 79	42 26	61 10	10 85	87 70	2 21	52 28	32 59	9 36	13 91	23 20	88 62	19 79	41 70	11 42	77 92	46 68	0 39	20 60	44 50	28 3	70 46	75 82	66 18	62 48	89 94	67 34	59 4	82 61	64 20	21 26	5 36	48 30	50 15	29 88	35 55	65 87	79 15	53 86	4 9	60 45	30 16	33 95	25 4	63 78	24 83	85 65	58 57	68 56	49 79	43 58	57 45	8 59	37 37	51 19	83 22	71 91	26 74	6 53	76 93	73 72	36 88	86 95	74 89	7 58	27 29	40 93	56 7	55 2	15 50	22 71	31 96	72 76	16 91	47 93	34 33	84 81	17 96
35 54	40 34	26 19	49 26	1 61	67 53	50 45	78 91	14 5	31 25	41 67	53 68	37 19	4 33	48 91	42 88	44 17	88 46	86 6	22 71	69 93	82 10	71 47	56 35	80 52	66 3	23 21	13 91	68 61	11 57	62 12	19 4	89 2	45 64	58 39	73 79	54 19	46 47	38 72	20 12	30 64	59 8	83 88	28 80	47 19	6 28	5 90	65 96	21 49	77 80	52 64	74 35	29 50	7 42	60 68	25 23	17 22	70 87	75 58	10 84	87 21	9 81	8 97	72 9	33 33	64 93	15 44	36 18	32 44	24 92	51 55	18 76	0 40	85 53	76 74	2 49	27 57	3 38	16 27	63 16	57 23	55 28	84 48	39 29	12 85	81 16	43 35	61 61	79 33	34 20
72 18	13 9	73 44	51 94	60 8	37 99	4 48	11 22	0 39	40 7	36 11	52 8	17 6	55 97	49 56	3 65	23 89	33 4	35 62	47 23	89 67	12 43	34 71	39 20	56 18	16 26	67 5	30 57	54 86	88 50	85 78	27 96	6 30	50 92	20 39	65 53	66 93	78 27	45 22	62 58	32 46	5 89	87 59	80 80	28 47	53 89	44 52	81 23	74 31	77 7	63 77	7 79	42 33	46 69	84 62	26 49	48 86	14 39	9 55	83 47	19 68	61 20	57 67	1 15	21 94	82 23	41 88	10 22	22 1	70 42	86 51	38 85	2 93	75 48	15 62	76 17	29 70	79 15	24 44	8 51	58 47	18 83	59 89	31 99	69 10	43 98	25 2	64 9	68 69	71 81
40 13	12 32	11 58	54 78	18 56	35 24	55 48	77 88	72 81	31 73	73 20	10 23	75 13	1 90	47 5	37 41	5 26	81 8	52 83	66 52	53 93	88 90	42 74	30 5	45 96	17 28	22 51	28 4	36 18	69 84	15 34	23 40	8 61	60 4	25 86	46 48	44 1	74 79	61 12	0 34	87 7	59 14	13 33	43 80	2 37	7 5	67 31	24 91	51 17	65 32	78 4	64 65	76 48	82 27	50 27	56 4	39 45	68 35	48 41	27 42	83 94	62 81	6 55	4 13	34 45	70 94	14 26	38 42	33 12	71 13	21 89	58 88	79 82	85 67	84 99	20 63	19 48	29 45	80 65	49 36	3 43	41 77	32 98	86 25	9 38	63 40	26 93	57 18	89 96	16 60
56 24	20 95	76 94	24 18	53 65	0 73	15 1	8 15	50 32	58 81	36 28	43 63	79 99	22 86	27 43	88 21	72 15	55 16	49 91	85 94	73 36	13 93	84 87	1 4	6 23	63 15	14 37	17 96	41 1	21 56	66 71	18 23	5 8	3 85	57 57	68 43	10 69	12 97	35 76	7 27	69 87	29 27	70 53	23 59	59 9	78 70	31 82	67 52	65 33	16 67	51 19	52 96	28 53	82 32	62 20	30 1	48 72	80 78	81 21	64 36	9 46	54 12	87 72	19 79	61 36	11 82	39 54	47 91	89 20	34 50	4 99	86 14	46 44	44 33	45 34	38 30	26 96	40 25	2 3	32 71	75 55	33 64	83 19	25 13	60 10	37 14	77 49	71 8	74 33	42 42
26 47	15 11	87 94	20 43	2 13	77 84	1 28	84 6	52 98	73 70	5 36	79 55	4 45	83 5	64 86	19 54	54 66	31 52	33 39	12 71	70 87	75 75	43 47	68 52	76 78	48 26	40 44	86 47	57 96	78 16	47 53	35 78	74 83	42 39	66 54	81 22	10 29	67 23	28 46	41 56	56 9	17 51	29 79	23 95	7 86	9 41	24 40	63 93	50 73	25 46	62 18	59 62	45 41	30 62	69 14	53 62	49 90	11 80	71 90	89 76	3 96	88 68	36 60	13 71	85 16	44 34	16 46	8 57	61 24	58 28	18 80	55 19	82 82	14 3	6 67	34 85	51 64	60 75	21 90	38 8	37 48	72 66	80 70	22 57	27 42	0 9	32 6	39 75	65 56	46 57
23 75	36 24	73 83	18 90	16 70	65 40	21 92	32 23	1 76	48 66	55 23	56 38	80 65	10 99	31 70	46 68	50 44	61 43	81 94	86 90	79 53	20 71	25 18	52 22	40 24	4 4	74 88	30 55	83 28	12 51	42 45	37 9	24 96	49 77	76 23	28 55	19 91	75 98	3 56	13 53	63 83	17 24	15 41	66 1	85 1	11 89	51 92	72 35	67 33	7 7	57 14	0 93	27 29	68 11	64 18	78 65	45 82	44 38	6 17	29 92	84 84	22 82	69 35	71 13	77 5	33 2	54 37	60 3	59 87	62 77	34 27	53 23	39 72	14 45	87 89	89 57	82 49	88 6	41 66	38 65	70 77	8 48	5 26	26 5	47 15	35 13	43 33	9 48	2 42	58 72
