40	60
29 32	44 84	35 72	46 2	0 8	20 29	11 64	8 72	51 84	57 4	34 89	18 25	27 78	53 9	21 61	41 84	45 9	33 27	47 48	2 83	58 94	5 79	16 89	36 20	6 76	3 95	43 74	37 90	25 89	40 83	32 62	30 16	52 68	39 81	22 84	4 95	54 91	9 51	26 86	23 10	48 86	28 16	7 9	10 99	50 57	12 14	17 62	49 14	14 18	59 67	55 77	24 33	1 96	13 54	15 92	56 99	19 61	31 58	38 10	42 31
0 34	30 20	19 43	28 2	37 35	55 25	42 31	1 85	50 43	33 10	4 19	52 84	14 78	31 30	12 59	16 22	32 51	38 67	3 49	23 83	35 92	8 98	9 55	40 10	22 56	6 12	49 26	39 2	25 52	29 37	17 50	43 51	44 88	27 97	13 26	11 9	5 4	21 15	58 4	10 36	15 2	26 77	36 85	20 62	7 16	48 72	2 2	57 66	41 40	59 54	46 81	45 49	18 45	53 79	56 83	34 73	47 62	54 14	51 11	24 73
18 54	7 87	16 91	31 68	47 75	15 85	27 65	17 78	39 28	26 53	14 89	12 27	44 43	40 47	58 39	5 17	28 80	25 32	1 84	32 2	46 96	59 19	41 91	35 49	33 28	11 23	45 68	37 14	38 95	43 95	51 82	21 46	6 74	36 70	9 48	52 88	50 40	23 24	34 60	13 21	0 83	55 39	30 29	29 50	19 65	8 83	10 91	22 3	24 15	49 64	57 97	42 26	3 88	20 38	2 10	48 45	4 95	56 18	53 27	54 26
48 36	29 19	3 24	54 79	44 38	55 20	28 34	4 53	20 24	53 93	6 62	0 13	50 38	43 39	36 79	42 99	33 22	5 69	23 77	11 62	7 4	41 25	45 62	59 36	57 23	12 96	1 73	14 72	52 97	46 75	2 61	38 89	21 41	15 34	37 7	47 51	26 78	31 55	18 41	24 85	51 64	40 64	58 85	34 29	13 10	49 10	30 38	56 44	22 10	9 96	19 69	17 82	27 37	25 75	10 28	32 77	39 8	8 74	16 50	35 52
41 18	15 50	10 30	16 65	3 80	31 32	44 46	7 71	1 8	6 61	46 64	8 67	55 65	50 56	22 85	0 28	14 6	17 41	18 77	9 67	57 62	52 45	24 48	47 34	23 3	29 20	58 5	5 29	26 63	48 97	12 33	2 87	56 67	35 16	25 95	59 49	37 18	42 3	33 72	49 65	28 72	30 23	11 6	43 78	40 65	51 44	45 76	34 49	20 59	13 12	4 76	27 53	53 40	39 97	54 58	38 87	21 41	32 14	36 49	19 63
57 54	59 35	19 43	28 80	1 90	49 68	37 74	5 73	21 72	35 20	45 99	55 67	2 65	4 36	40 52	20 64	50 15	24 23	31 3	39 14	12 23	7 35	14 77	3 50	26 83	6 48	36 92	10 20	38 87	18 62	47 91	15 80	23 42	43 67	9 98	29 47	54 58	44 31	33 3	30 9	17 34	52 29	22 40	56 65	8 41	11 30	58 19	16 57	51 21	42 2	27 74	32 13	53 14	13 35	41 15	0 97	46 12	34 67	25 53	48 33
28 71	20 3	55 81	27 94	32 43	25 51	51 85	45 32	49 30	1 27	40 91	13 31	4 34	59 15	5 96	21 65	8 46	7 38	48 55	37 85	22 60	46 9	6 39	16 5	19 58	14 56	36 45	34 24	53 26	47 84	50 71	44 96	3 34	29 53	11 20	2 99	24 20	31 70	41 74	9 46	56 20	15 8	30 90	54 36	39 92	0 70	10 59	52 30	33 29	58 65	38 1	17 30	18 16	57 5	43 13	23 13	26 45	35 36	12 95	42 4
23 44	49 20	28 79	1 28	34 92	50 73	25 32	52 51	12 18	17 64	45 35	8 30	15 25	47 89	56 58	59 46	7 17	3 91	11 34	32 5	40 30	2 54	57 55	35 73	9 79	42 34	18 25	0 34	37 54	14 16	19 18	53 1	33 6	46 29	10 70	38 23	26 6	58 69	4 71	51 61	27 60	41 59	5 70	48 81	44 76	55 79	31 33	22 90	36 73	30 14	6 93	13 53	20 76	21 89	16 51	43 35	24 85	54 45	29 22	39 95
26 28	46 66	16 80	20 87	59 69	27 43	31 50	23 99	19 96	6 3	13 75	39 81	21 33	57 33	40 88	9 57	54 19	36 82	11 8	0 55	24 81	47 49	53 2	25 77	50 41	55 70	32 3	10 63	34 82	3 47	51 32	41 81	18 2	44 28	14 39	52 20	33 79	2 48	29 45	22 7	45 19	30 29	38 99	37 79	42 6	15 41	5 55	7 21	8 93	28 19	56 52	1 98	35 29	12 65	43 33	48 36	49 97	58 89	4 96	17 30
0 39	2 65	6 21	20 2	5 67	11 62	29 67	22 83	13 39	14 39	40 79	30 48	12 95	49 29	44 3	7 16	19 70	48 29	32 29	21 68	37 12	41 26	24 86	58 29	56 82	4 97	50 21	53 59	1 51	55 54	17 99	57 63	35 41	39 72	28 6	31 51	47 82	45 16	3 21	25 99	16 3	36 23	34 69	10 1	46 75	38 35	23 75	42 56	15 56	51 7	18 51	9 79	26 72	54 56	33 73	52 81	59 9	27 3	8 91	43 37
59 3	42 88	8 56	10 26	3 82	38 56	14 62	16 12	54 94	37 91	18 51	13 10	47 56	29 18	52 48	34 19	55 37	24 8	25 93	35 61	48 33	36 87	53 36	33 83	21 29	9 56	40 34	6 17	27 23	20 87	4 75	19 50	32 17	41 82	46 39	44 84	28 63	39 9	0 66	45 96	31 98	50 20	1 38	26 52	15 34	51 72	7 91	22 31	23 74	58 57	30 87	43 11	49 75	56 71	12 9	2 70	17 22	11 90	57 37	5 87
33 25	20 1	44 79	5 84	3 88	16 31	51 78	12 58	48 1	1 29	11 41	42 62	13 51	57 5	18 37	0 1	46 68	19 38	2 64	25 72	14 55	53 71	36 66	21 79	9 32	34 57	4 28	28 39	26 45	32 77	55 39	54 30	24 54	22 38	52 39	35 33	59 75	47 84	27 58	39 68	38 10	30 43	41 87	17 1	23 32	49 12	6 23	45 63	43 11	31 13	40 27	29 22	8 84	7 54	15 39	56 1	58 10	50 54	10 91	37 86
21 50	17 42	51 11	59 76	34 26	11 35	43 27	45 1	12 3	27 8	23 12	55 56	24 46	58 8	8 84	4 68	49 30	40 51	46 63	7 85	29 74	2 90	35 45	39 64	42 43	19 41	31 80	18 34	48 32	36 75	6 82	33 2	53 36	41 68	1 59	57 28	9 81	3 35	13 51	22 32	32 48	5 30	37 21	16 3	10 96	30 37	15 71	54 39	26 99	52 93	20 62	47 61	50 60	14 43	44 64	28 27	0 93	25 22	56 67	38 46
11 88	34 57	59 60	52 89	17 18	36 93	12 15	14 22	18 70	38 25	35 18	57 88	50 91	48 67	25 89	29 55	44 97	13 34	4 66	3 68	49 2	6 8	20 75	41 14	39 88	16 52	37 98	8 97	19 28	7 36	5 13	21 91	51 78	55 46	10 75	43 86	28 37	32 83	15 67	33 20	56 74	2 93	9 99	31 31	46 99	24 33	30 11	23 98	22 59	27 97	54 73	58 95	42 79	0 94	47 21	53 99	45 83	40 28	26 87	1 40
8 26	30 70	59 81	47 14	54 27	22 57	33 97	7 57	17 39	39 31	56 62	28 23	24 48	34 27	20 97	58 28	6 47	19 14	29 36	32 74	37 30	23 63	53 9	55 52	4 16	14 35	15 73	18 25	2 26	13 94	36 26	52 51	10 70	43 55	27 20	44 87	50 81	42 25	31 54	0 97	25 66	9 48	41 3	1 15	51 7	38 38	26 97	35 61	21 68	45 51	46 62	40 25	11 89	48 88	16 74	49 35	57 84	5 11	3 60	12 27
13 68	45 21	53 84	6 68	59 26	31 31	12 81	35 81	5 84	17 37	19 70	16 55	28 30	51 9	29 64	37 1	55 12	26 80	50 48	58 62	1 91	0 3	11 23	8 57	33 23	36 78	23 99	21 86	7 98	43 99	52 87	20 40	30 91	57 29	4 65	44 44	22 18	56 48	3 14	41 31	27 91	47 43	25 90	42 39	38 56	54 19	39 84	24 3	2 90	48 3	46 52	32 24	18 66	14 55	15 63	40 44	9 20	10 96	49 44	34 29
57 83	55 25	54 83	31 58	33 8	26 46	46 39	44 9	19 45	13 29	5 54	29 24	25 59	12 64	21 59	7 47	17 45	42 4	22 51	53 29	14 81	36 13	45 68	50 26	49 46	20 12	16 17	8 80	35 70	9 16	52 11	37 93	18 75	4 43	0 95	24 82	43 12	11 48	27 30	51 87	41 68	3 90	15 32	38 42	28 18	32 12	59 47	10 76	6 15	56 33	34 53	47 99	2 95	1 56	48 26	39 6	58 90	30 88	23 62	40 12
23 1	15 21	34 36	7 63	14 56	50 80	52 31	43 41	39 50	53 87	56 55	57 44	22 55	44 84	21 80	6 11	54 17	10 21	58 85	19 68	42 2	36 23	2 29	12 80	59 86	9 70	4 31	33 55	24 10	38 93	18 98	1 59	8 57	11 75	26 42	5 48	29 51	3 82	47 23	20 48	28 88	40 2	32 43	45 41	41 56	46 61	51 17	37 27	31 51	30 39	16 57	17 58	25 73	55 76	0 32	35 19	13 87	49 4	48 2	27 67
28 90	39 62	15 29	37 32	23 40	17 39	34 15	45 59	47 40	11 10	5 40	6 54	40 66	19 40	7 10	10 38	48 47	13 39	35 81	26 83	29 6	4 77	14 7	44 14	52 80	27 57	22 68	43 20	53 67	49 56	51 6	36 39	38 9	54 81	9 76	58 12	41 10	32 7	33 90	3 3	59 38	16 43	18 89	24 89	0 12	2 42	1 55	25 38	20 43	30 7	57 26	21 89	42 19	8 91	50 29	55 46	31 96	46 91	56 99	12 32
26 21	33 11	27 50	6 31	30 89	54 42	3 27	48 59	53 91	12 44	49 73	23 28	0 47	15 28	20 36	45 20	1 85	19 43	25 23	18 67	35 61	13 28	58 47	16 35	59 14	47 67	32 29	57 96	14 75	42 76	4 13	50 32	8 96	46 4	31 41	7 43	44 88	17 62	5 29	40 19	11 45	29 2	9 65	22 41	43 99	34 26	21 74	36 95	37 33	51 36	55 61	24 28	38 31	39 3	10 22	2 85	28 10	52 25	41 37	56 88
53 69	44 16	4 28	20 56	15 8	9 48	41 35	52 65	23 72	51 68	45 66	37 35	24 58	57 37	46 96	27 89	38 7	8 85	1 73	21 40	42 91	14 88	29 11	33 46	30 47	47 45	35 71	10 77	49 17	16 82	0 4	36 84	58 35	5 45	34 83	56 26	2 99	40 71	54 13	48 91	7 5	6 39	26 39	50 83	12 30	32 28	18 54	28 10	19 39	3 9	22 34	11 47	17 64	43 5	55 33	13 41	25 40	39 96	31 11	59 31
9 69	23 19	29 98	46 66	53 88	18 84	56 97	14 92	43 69	47 65	55 55	4 5	57 69	15 86	36 51	35 79	24 58	0 61	20 58	45 94	40 15	32 16	39 94	25 24	19 32	31 16	44 35	49 10	42 46	7 69	33 96	26 1	34 99	3 27	2 29	48 91	30 16	38 4	5 64	41 92	58 9	59 95	28 31	52 2	8 45	54 86	13 46	12 15	11 21	27 53	10 62	6 56	1 26	22 23	37 17	21 69	17 76	51 32	50 38	16 14
1 38	25 56	53 30	58 64	48 15	13 74	2 64	50 78	37 75	56 69	44 34	31 67	30 11	26 12	43 68	36 3	40 18	19 57	20 90	41 68	55 29	14 90	24 72	57 77	35 91	39 29	0 69	9 15	38 20	8 28	42 83	4 40	7 86	59 19	21 19	29 69	49 93	51 63	32 77	16 87	46 60	17 47	23 17	22 63	47 34	18 91	3 23	34 93	52 12	15 34	11 39	33 71	12 69	5 65	28 24	54 5	27 73	6 86	45 87	10 70
30 79	58 62	42 14	6 48	31 4	50 81	8 38	23 70	45 22	20 44	47 36	0 73	16 67	7 33	19 5	3 76	4 38	22 94	1 96	10 30	57 20	51 30	39 42	54 5	59 74	35 66	56 72	24 72	37 99	32 98	12 63	25 9	14 41	48 20	28 51	49 36	27 5	2 46	40 84	53 40	21 73	33 43	46 57	34 86	43 6	55 97	9 2	18 40	41 76	52 9	44 46	5 82	15 60	29 66	17 31	11 41	36 72	38 90	26 72	13 75
51 66	54 89	14 96	34 75	29 5	26 73	49 86	5 96	6 8	20 98	4 93	21 22	13 85	39 62	44 87	52 6	9 89	22 79	12 94	48 40	36 86	8 19	33 26	53 22	58 94	35 9	37 97	23 52	41 66	24 43	50 70	16 83	11 13	27 77	2 61	43 91	25 44	59 51	10 12	56 27	40 63	30 65	0 72	32 26	31 11	3 22	38 22	45 22	46 58	55 45	42 38	28 94	17 52	18 54	15 6	1 7	19 36	57 15	47 79	7 22
58 66	57 45	3 93	45 58	34 6	39 16	24 4	30 84	11 67	10 86	43 64	52 21	42 17	49 14	32 8	47 56	35 40	9 1	4 13	2 28	46 32	54 94	6 83	22 98	8 8	7 12	36 25	16 25	40 29	51 7	55 74	18 7	59 97	28 45	33 12	27 9	29 24	26 65	12 2	21 75	25 58	31 68	50 87	38 78	14 75	37 53	56 23	41 61	44 78	23 12	19 44	48 25	5 61	0 68	53 25	13 80	20 80	17 56	15 98	1 33
12 19	35 44	10 15	6 50	39 80	23 91	4 91	30 7	46 37	3 52	56 84	49 44	45 42	36 34	17 89	11 23	47 62	7 15	18 45	8 31	44 65	13 92	28 15	1 21	52 55	48 13	5 83	16 30	31 43	50 68	25 44	9 79	0 64	14 79	20 98	43 56	41 10	51 59	57 34	58 40	21 84	15 93	27 18	24 38	2 89	38 48	53 76	40 8	19 40	32 38	33 65	29 42	22 95	54 10	34 50	26 86	37 28	42 12	55 10	59 22
27 1	57 61	19 69	42 47	59 27	15 34	45 82	25 42	40 59	31 61	37 9	8 84	30 54	51 23	41 34	50 72	12 40	9 37	1 45	38 55	16 16	53 36	10 50	43 24	58 86	26 50	3 92	17 46	55 51	0 96	11 91	36 78	2 53	44 67	29 10	18 92	5 81	33 87	22 97	6 82	14 50	48 18	49 94	24 86	4 89	54 71	7 13	34 94	21 29	35 17	28 4	23 16	56 8	52 78	39 39	20 76	46 82	47 97	13 7	32 1
41 6	11 66	2 1	51 94	34 37	30 70	43 19	24 50	37 37	0 35	10 41	4 76	7 30	48 30	18 75	21 67	50 54	58 48	1 76	31 34	6 25	20 32	57 46	17 38	39 51	22 71	40 66	55 48	15 23	14 13	3 6	16 16	12 21	27 18	32 45	59 67	13 65	56 78	53 32	5 20	49 84	36 77	35 31	26 53	44 86	52 75	23 91	54 65	45 8	8 87	9 45	28 92	33 58	38 46	19 45	29 23	42 3	46 51	47 25	25 57
12 88	46 65	10 71	55 80	25 85	15 59	16 21	33 79	28 85	51 30	44 20	6 57	52 22	47 77	5 91	31 56	36 69	34 61	39 58	37 68	43 88	3 75	35 93	22 73	7 17	26 34	4 26	11 94	53 57	8 89	56 44	45 51	9 37	38 18	50 69	23 4	2 96	20 41	30 96	57 11	59 44	14 47	0 70	1 10	40 47	21 25	49 51	13 41	42 28	41 95	27 62	19 98	54 91	58 44	17 61	48 6	24 46	32 25	18 52	29 81
