70	40
14 26	20 79	35 31	26 3	38 15	30 76	16 35	9 91	37 45	10 82	7 59	5 56	15 97	13 56	27 15	2 77	24 62	18 9	17 1	19 32	11 32	12 91	1 83	31 22	36 76	6 20	32 30	21 24	4 53	39 54	23 67	29 11	0 6	8 27	33 74	28 94	3 5	22 18	34 58	25 13
35 63	38 95	33 45	13 66	9 12	27 54	5 38	16 28	7 50	3 8	28 12	25 49	14 63	8 84	11 50	12 47	39 7	0 77	19 42	17 89	26 28	4 89	29 76	32 31	1 40	15 99	23 25	30 15	18 62	31 66	22 98	36 93	21 1	20 91	10 20	34 57	37 97	24 78	6 99	2 10
11 56	22 60	9 83	3 62	18 64	31 98	21 81	8 93	14 24	26 17	24 96	20 59	10 9	36 87	27 72	32 20	1 46	29 58	2 86	7 36	33 40	13 39	4 11	0 47	5 60	16 22	12 8	17 63	23 63	34 66	37 81	15 3	39 28	19 26	28 30	6 12	35 85	38 16	30 58	25 67
11 82	31 85	28 13	29 54	3 49	36 9	20 61	34 48	14 6	9 6	21 14	4 12	37 73	10 96	26 51	32 20	13 50	18 25	15 18	17 55	30 61	22 39	6 46	0 65	1 17	25 59	23 81	16 58	38 26	39 8	19 32	7 16	24 6	33 46	35 21	5 27	12 21	8 73	27 1	2 74
10 62	30 80	19 50	5 73	27 24	2 37	7 87	38 81	3 3	9 28	23 74	16 84	13 77	26 84	25 84	15 37	18 65	8 51	28 36	20 48	35 5	29 43	4 70	24 62	17 39	0 76	11 49	6 88	1 14	31 71	14 26	34 28	36 12	33 93	39 70	32 86	37 62	12 83	22 75	21 34
31 25	36 67	3 58	1 34	2 10	15 37	8 34	7 44	28 66	24 22	22 45	38 92	26 61	27 93	37 65	6 76	18 37	25 57	35 73	12 13	30 44	14 5	13 79	23 85	33 88	4 79	32 42	20 36	0 3	29 29	19 89	16 45	17 14	34 18	21 75	11 98	9 80	10 49	39 47	5 89
2 14	19 90	5 70	27 79	20 33	25 63	26 94	24 98	32 28	1 29	38 39	18 53	11 25	33 7	7 12	29 5	12 86	23 52	4 45	9 48	16 23	0 56	31 36	3 91	28 68	10 22	6 81	13 83	15 63	21 59	39 80	36 84	8 90	37 15	30 44	22 45	34 44	35 70	14 89	17 35
12 41	35 29	30 23	3 88	13 45	4 96	24 2	26 80	29 32	37 17	34 91	5 77	19 32	2 32	20 58	14 38	28 56	31 82	22 70	17 96	21 24	27 22	15 16	11 92	39 2	38 31	8 96	36 39	32 91	6 77	1 58	33 40	9 9	25 56	23 63	18 15	10 81	0 79	16 68	7 61
18 24	2 37	7 52	35 80	25 89	9 71	27 14	28 49	15 23	37 40	38 38	6 94	10 64	24 26	20 81	23 8	8 34	11 66	30 73	26 34	16 41	34 23	21 62	31 56	33 28	19 31	3 75	36 90	22 62	29 98	39 7	5 3	0 49	1 48	13 3	14 27	4 63	17 66	12 17	32 8
7 11	15 93	10 37	2 89	19 58	30 14	9 2	23 12	3 73	28 15	14 81	37 7	34 2	27 88	4 53	12 71	6 86	26 9	35 77	11 50	36 17	17 27	0 10	8 56	13 66	38 10	18 73	33 16	32 75	24 99	1 41	5 3	39 13	25 93	21 3	20 24	16 18	31 71	22 77	29 77
20 61	18 95	2 66	28 12	5 92	35 74	19 83	0 28	1 89	25 56	6 40	39 53	17 39	38 11	12 48	8 60	31 48	13 30	37 3	14 38	10 72	29 59	26 70	16 35	4 33	7 37	22 28	24 57	33 86	23 42	3 53	34 26	27 55	21 47	11 19	36 71	15 11	32 7	9 58	30 3
4 8	9 87	3 39	35 83	12 94	17 78	11 69	27 34	13 78	23 49	36 26	31 22	37 68	10 73	24 38	25 86	1 1	28 66	34 52	7 7	16 5	29 45	30 27	14 16	0 92	21 7	2 89	18 29	32 37	5 24	38 34	19 33	20 77	22 72	8 34	33 48	26 83	6 77	39 42	15 84
29 56	17 5	31 39	8 45	39 31	4 5	16 89	15 34	11 40	35 74	19 29	12 49	24 34	36 35	14 69	38 64	10 94	20 88	25 25	28 6	23 46	6 41	26 4	33 71	0 98	22 98	27 26	2 74	1 55	9 74	37 58	30 96	34 90	3 57	21 36	7 33	18 59	5 27	13 15	32 55
30 57	10 27	36 88	35 93	1 15	20 55	29 3	38 31	13 40	6 86	12 85	39 71	21 4	34 20	17 54	25 5	37 76	5 19	23 18	28 20	22 54	7 58	15 47	8 40	2 60	4 14	0 49	3 68	11 25	32 40	19 17	27 36	33 15	14 38	24 44	16 19	26 84	18 14	31 82	9 99
39 89	20 14	34 66	24 84	26 49	35 28	12 58	29 86	2 12	13 66	36 60	10 20	1 69	31 10	38 41	18 45	16 56	19 95	14 31	32 17	30 95	25 46	9 85	37 55	7 37	28 20	21 24	6 55	11 85	4 67	23 86	22 25	8 23	17 13	27 83	0 49	5 54	15 83	33 52	3 15
38 70	25 54	36 35	4 68	10 3	30 56	13 9	0 11	27 18	32 40	5 81	18 48	35 66	15 41	3 88	28 54	33 79	34 83	12 14	9 88	6 3	23 74	19 78	37 88	2 80	20 68	24 11	1 76	14 80	7 30	11 80	22 85	29 44	31 79	17 97	8 17	39 69	16 53	21 80	26 92
21 21	39 98	19 62	22 72	18 98	35 32	16 72	10 87	24 53	20 16	4 66	31 37	26 89	13 74	11 18	5 28	29 95	2 95	33 34	9 62	0 83	1 97	8 74	37 34	32 75	23 53	15 7	17 95	12 89	30 71	38 12	7 76	3 8	6 15	28 37	14 21	25 95	27 91	36 21	34 94
6 63	33 71	20 35	22 79	34 66	27 7	24 69	3 87	7 53	2 13	9 10	36 59	10 87	23 83	31 46	37 88	13 6	29 84	12 42	35 29	39 39	26 54	32 45	11 81	16 77	5 59	0 5	30 81	8 52	4 10	38 96	21 49	14 46	17 29	18 81	25 8	28 35	15 49	1 63	19 44
25 85	35 78	14 4	10 65	16 94	36 52	8 73	29 93	30 6	3 34	21 76	11 25	17 71	18 87	34 46	38 55	4 18	5 52	23 73	22 39	32 90	31 37	27 24	2 44	13 85	39 43	9 23	20 81	33 24	1 72	0 70	19 90	15 51	7 18	24 42	6 19	28 69	26 19	12 79	37 46
27 36	35 35	19 16	12 17	30 14	14 70	28 54	4 97	32 2	22 37	3 70	20 10	16 10	26 77	31 34	34 19	10 9	2 29	25 99	6 27	29 78	33 54	36 98	8 61	7 15	37 57	23 50	5 4	24 63	15 44	39 1	9 45	0 33	18 4	13 14	38 33	21 80	1 48	17 87	11 76
25 98	35 13	17 66	31 22	16 72	28 78	22 81	0 45	32 90	5 27	24 90	27 64	8 81	15 85	14 80	4 13	20 30	11 42	9 30	21 84	3 52	2 59	30 8	23 99	29 96	26 57	18 55	13 16	19 43	34 62	10 79	33 33	1 80	6 48	37 24	12 50	38 4	36 80	39 62	7 98
20 53	6 65	8 13	26 42	23 17	34 14	0 28	10 81	15 95	16 40	25 52	24 7	4 1	38 83	13 84	31 69	39 18	29 31	17 26	14 10	32 31	19 97	1 17	27 31	2 81	7 77	5 29	35 74	21 90	22 63	11 62	33 62	12 32	3 97	36 69	18 70	28 59	30 30	9 4	37 4
29 26	23 42	17 78	5 91	24 42	39 4	38 50	34 25	19 99	31 7	35 42	8 57	12 42	21 61	2 62	20 60	33 2	27 82	37 90	15 11	26 60	22 11	16 20	0 32	25 91	18 39	36 97	11 82	1 20	28 86	4 67	6 71	10 32	13 32	7 58	3 92	9 56	30 31	14 20	32 76
21 15	32 33	17 81	10 96	15 77	5 30	3 6	37 89	36 11	30 31	4 9	23 82	12 99	35 47	39 26	13 88	33 20	38 86	34 71	31 9	29 4	11 68	18 93	8 91	22 67	20 53	14 96	1 6	9 4	0 13	24 50	27 94	28 91	2 94	16 52	19 79	7 95	25 38	6 59	26 78
14 65	10 55	33 87	5 65	34 11	29 17	7 98	17 29	28 77	24 10	13 28	3 42	18 15	30 47	11 95	12 2	35 9	22 97	0 99	8 59	36 6	1 55	19 58	2 83	6 70	27 91	38 43	20 48	39 68	31 7	37 69	25 32	23 23	16 75	4 81	26 15	21 34	9 72	32 50	15 58
34 46	14 92	19 41	3 26	1 87	36 77	13 11	15 87	25 79	29 94	9 19	21 49	4 5	2 43	18 51	33 51	30 15	28 25	35 7	37 93	6 44	17 2	22 72	31 6	24 4	20 11	10 31	12 89	7 24	16 1	39 69	38 2	8 45	32 40	5 18	0 83	27 14	23 4	26 38	11 54
18 81	33 1	7 73	25 90	14 70	2 67	20 9	19 47	16 2	32 18	10 1	11 3	36 93	17 43	26 22	35 21	39 22	22 19	23 77	34 67	28 37	38 54	30 15	0 41	21 45	37 74	15 45	29 61	12 3	3 33	6 78	13 37	1 14	8 39	4 59	9 36	24 55	31 51	5 79	27 18
35 18	5 83	39 5	26 76	17 7	12 78	37 66	16 5	32 35	29 18	19 91	31 58	33 75	14 63	11 57	30 43	27 86	23 53	24 67	9 17	7 13	21 4	34 91	15 41	20 70	4 75	38 23	28 78	13 72	8 98	22 42	6 11	2 2	0 37	3 83	1 24	25 61	36 24	10 93	18 54
23 72	12 18	16 90	4 7	30 72	22 34	39 75	13 10	17 4	8 80	3 20	38 45	24 74	7 53	36 89	28 56	2 74	31 78	20 23	5 6	0 52	14 72	11 16	19 59	34 44	10 10	15 82	37 32	32 31	26 35	27 25	29 78	9 21	1 11	33 61	35 2	18 53	6 36	21 91	25 69
8 97	31 65	23 90	11 89	10 1	33 73	2 85	5 25	26 28	1 1	24 90	39 88	17 32	37 24	18 54	27 51	16 52	7 99	34 16	13 3	21 44	9 80	38 46	14 74	32 46	30 95	36 92	22 57	29 46	35 73	4 11	20 15	19 55	12 65	25 20	0 8	3 39	6 14	28 65	15 64
39 66	38 70	9 67	11 69	20 65	37 27	10 14	3 64	7 2	36 6	33 83	34 9	1 20	4 56	18 52	27 9	0 4	16 93	29 18	22 45	6 24	30 64	5 88	25 24	2 15	35 98	26 40	21 42	23 8	24 66	19 54	13 19	17 81	8 64	12 52	32 88	28 62	14 25	15 20	31 52
19 7	28 45	3 17	37 5	32 15	4 30	8 19	5 83	2 69	15 31	39 3	16 28	25 40	6 39	33 95	35 84	12 24	31 62	20 75	7 5	27 4	10 68	14 28	38 63	23 94	13 37	29 36	26 25	36 89	17 6	34 99	24 99	22 7	1 49	18 82	11 51	9 89	21 74	30 13	0 93
38 25	25 17	7 90	31 31	8 27	1 35	6 52	22 13	4 12	14 79	35 48	10 70	30 97	2 70	36 3	33 90	34 59	3 67	12 85	21 37	9 62	5 87	28 23	16 64	23 29	11 54	29 47	13 97	15 96	39 81	26 31	27 76	37 30	24 75	0 12	32 92	20 4	17 27	19 16	18 17
0 71	22 4	28 31	30 69	13 25	8 50	9 23	17 72	37 71	36 78	34 61	24 15	6 19	3 44	27 90	1 62	31 10	20 49	29 25	7 43	11 89	23 10	14 56	35 35	39 90	26 66	25 3	18 14	10 9	19 75	5 96	32 40	2 56	12 2	38 15	21 95	33 84	4 93	15 95	16 46
29 15	21 20	13 16	26 16	39 18	8 46	23 7	0 94	12 47	2 22	33 47	38 84	18 39	5 96	4 12	16 29	31 95	30 26	35 89	14 28	15 39	19 97	6 47	32 39	24 69	37 21	7 55	20 27	17 73	11 23	36 59	27 32	22 92	9 45	34 68	10 62	28 48	1 23	3 60	25 80
28 92	33 58	18 46	25 50	37 58	24 4	6 17	22 90	27 3	14 64	38 68	12 70	30 96	23 4	35 60	2 40	0 4	31 93	10 98	21 8	36 84	32 34	15 34	17 12	19 33	20 2	16 73	26 76	4 72	5 62	8 64	13 8	29 50	11 60	39 45	9 86	3 67	34 95	1 25	7 22
1 93	26 60	5 1	13 45	9 97	24 95	19 19	16 84	31 93	30 16	21 27	32 97	0 40	29 1	38 2	36 51	28 16	14 90	8 49	17 79	2 99	37 18	27 14	39 35	3 98	11 98	34 41	22 16	18 82	23 25	12 69	15 42	7 8	35 80	25 33	20 16	33 57	10 77	4 13	6 3
36 49	16 81	10 29	32 86	25 13	1 67	18 91	33 63	19 91	39 76	12 4	15 94	27 97	7 41	4 95	20 49	34 62	8 71	38 15	35 15	0 53	30 9	2 84	5 32	17 25	3 71	37 16	22 67	24 69	29 43	28 41	26 44	21 14	23 65	31 27	6 92	13 45	14 58	11 15	9 88
28 57	15 34	33 95	23 94	22 68	6 96	25 68	27 35	36 95	39 73	38 96	8 99	5 5	20 4	17 58	10 50	2 95	12 75	7 49	24 33	37 96	14 22	11 92	13 73	3 44	32 42	9 75	31 7	29 3	18 93	21 60	16 77	4 47	26 38	0 12	30 3	1 50	19 60	35 61	34 59
4 10	22 64	9 93	0 3	3 71	19 21	36 29	8 17	27 27	7 33	24 19	29 67	14 17	13 90	26 9	6 29	20 7	12 61	35 83	1 35	16 98	18 96	25 61	2 64	5 49	28 82	23 21	34 61	17 78	11 10	30 57	31 38	10 2	33 60	38 84	37 33	21 32	32 97	39 11	15 53
1 8	22 63	27 30	12 56	31 63	4 90	21 50	34 33	3 55	26 42	25 36	32 37	20 98	28 11	30 14	13 74	14 92	10 74	36 55	23 81	8 75	7 20	33 9	35 26	2 66	11 66	6 20	39 45	16 68	15 37	37 41	5 85	29 6	38 31	19 74	24 37	17 23	18 48	9 49	0 55
1 20	18 8	24 53	10 98	25 13	6 2	13 22	7 28	37 76	4 18	36 33	39 51	30 59	33 25	0 20	14 39	28 29	31 61	38 21	23 49	12 37	5 21	27 97	22 72	9 73	11 13	17 59	29 54	2 56	35 90	15 39	3 79	16 34	34 64	32 68	19 84	8 34	20 76	26 6	21 30
20 46	22 57	37 10	1 55	36 62	30 80	34 98	9 40	26 64	18 44	32 65	7 21	19 9	25 44	4 33	38 25	31 54	5 32	23 44	16 45	39 9	2 80	12 82	35 6	28 63	29 85	33 48	0 7	13 46	21 3	24 46	15 41	27 68	14 38	17 83	6 59	10 93	3 14	11 47	8 90
35 46	33 66	15 93	24 75	30 87	16 21	26 73	11 5	21 8	14 73	8 81	12 2	5 4	20 44	2 41	6 26	25 4	22 20	37 80	1 85	29 34	31 89	38 97	39 87	9 81	3 84	13 27	19 93	32 21	34 2	36 28	17 77	10 47	7 97	28 67	27 18	4 77	18 89	23 38	0 84
36 19	16 25	8 17	19 21	39 64	29 76	33 64	21 60	37 53	11 3	2 89	23 76	7 10	24 20	17 9	28 77	1 24	32 45	20 92	9 96	14 90	27 23	13 55	35 43	34 54	5 91	4 59	12 56	22 49	10 62	38 84	18 6	26 59	25 24	3 59	30 48	0 1	6 11	15 33	31 27
5 28	9 65	26 77	1 74	12 9	37 64	29 28	17 93	36 86	31 1	14 39	13 43	27 68	33 77	39 15	0 15	2 14	23 50	8 83	34 3	20 23	28 66	3 94	4 27	35 77	7 26	10 13	19 6	24 77	22 99	11 75	18 23	15 96	21 48	30 32	25 28	6 12	38 82	16 82	32 13
7 11	34 11	21 45	9 77	26 65	38 98	31 67	28 51	32 46	15 7	12 79	5 36	1 87	22 97	27 68	30 51	17 25	25 42	6 83	36 9	10 40	20 90	11 91	24 30	13 19	2 88	33 28	16 31	4 40	14 76	23 45	19 61	35 72	37 18	29 76	3 57	8 8	18 5	39 58	0 89
30 68	7 3	37 33	34 54	2 70	1 98	24 4	35 93	21 57	26 44	9 69	32 44	16 73	15 48	29 42	38 74	10 99	28 59	25 69	13 72	39 86	18 61	23 30	8 16	22 14	33 2	12 22	14 22	36 35	4 32	31 41	3 22	19 21	27 69	6 60	20 14	0 71	5 46	17 33	11 36
0 85	29 27	19 59	3 2	14 57	6 41	7 52	12 43	11 24	36 6	33 38	25 12	18 76	23 94	20 60	1 81	8 20	17 54	27 37	32 67	24 56	22 69	34 68	37 66	31 36	30 26	26 90	2 77	16 86	9 13	35 54	10 23	13 23	28 6	4 54	5 78	21 62	38 80	39 19	15 67
36 50	21 33	25 44	20 53	38 4	30 52	2 45	15 64	7 67	17 10	9 85	5 54	11 38	35 65	10 13	28 63	13 11	14 13	37 97	4 51	6 33	22 3	18 40	16 17	23 97	27 81	33 26	31 54	32 69	34 62	12 59	26 32	19 15	1 50	29 60	39 58	0 79	3 98	24 9	8 68
26 48	31 51	28 60	13 52	38 75	17 50	7 10	0 3	2 40	5 6	6 57	11 37	27 36	33 29	24 89	32 84	8 65	34 33	9 56	14 54	15 34	12 40	36 22	30 67	23 61	19 17	39 29	10 38	16 88	1 64	3 54	4 47	22 55	18 94	35 55	29 35	21 42	25 42	37 52	20 52
1 36	7 27	35 66	4 74	22 51	16 51	8 42	39 74	10 61	34 50	14 75	17 64	21 91	15 66	32 21	36 29	33 75	19 73	5 99	27 75	29 89	26 72	38 1	23 59	3 56	6 60	25 6	13 35	28 73	18 55	9 54	12 98	31 99	24 88	2 60	37 70	11 68	20 74	30 79	0 19
31 51	12 61	39 61	32 38	3 78	26 81	4 90	23 84	36 17	28 7	6 94	11 94	25 30	16 57	22 1	0 45	21 23	15 57	5 99	19 46	18 93	24 91	33 67	14 50	20 44	27 39	37 27	10 90	35 17	29 70	8 88	17 98	34 4	1 89	30 12	9 21	13 28	38 28	2 78	7 42
5 57	31 25	8 87	27 84	24 18	10 45	39 82	19 69	36 18	1 5	3 38	20 31	2 49	6 48	18 74	25 53	37 18	7 73	9 97	15 29	30 47	11 68	4 16	16 21	34 25	0 74	28 84	32 42	13 70	21 65	23 19	22 39	17 22	26 87	12 33	38 65	35 64	33 49	29 59	14 88
28 82	12 47	11 5	7 37	21 95	26 7	15 5	10 89	2 32	25 78	35 16	1 3	24 9	37 24	36 31	38 21	23 26	19 32	3 6	32 70	31 12	33 96	22 58	20 65	5 29	0 18	29 96	9 18	18 59	27 39	16 65	13 20	4 47	6 17	17 10	39 32	14 41	30 80	34 29	8 66
7 31	34 90	28 75	22 17	38 22	35 89	37 12	1 4	31 2	11 61	8 83	13 4	10 22	39 63	32 5	29 32	26 43	5 37	33 84	14 58	2 92	16 42	3 74	9 80	6 45	30 58	36 40	18 12	0 93	19 43	4 7	15 33	12 18	17 28	27 19	21 93	24 55	25 53	23 91	20 1
